property_name,source_url,contact_route,contact_detail,contact_source_url,est_ADR,review_signal,photo_gap_notes,copy_gap_notes,score_0_100,contactable_yes_no,status
Zeus Temple view 2BD Apartment Acropolis – Plaka,https://upstreet.io/apartment/zeus-temple-view-2bd-apartment-acropolis-plaka/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/apartment/zeus-temple-view-2bd-apartment-acropolis-plaka/,€130/day,"On-page guest comments show 5/5 Airbnb and 5/5 Vrbo quotes; active property page","Gallery is large but first impression is not benefit-led; many room angles before a clear hero/Acropolis-view promise","Title is keyword-stuffed and awkward; opening paragraph starts generic 'Enjoy the UPSTREET experience' before the view/location value",82,yes,qualified
Psyrri Hideout · Chic 2BR Apartment,https://upstreet.io/apartment/psyrri-hideout-%c2%b7-chic-2br-apartment/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/apartment/psyrri-hideout-%c2%b7-chic-2br-apartment/,€95/day,"Active property page; no review-count visible in captured page","Gallery exists but the page does not turn the best living-space/remote-work angle into a strong first impression","Title is generic; opening copy repeats UPSTREET boilerplate and delays the Psyrri/digital-nomad positioning",72,yes,qualified
Monastiraki Living: Deluxe 2BR Apartment,https://upstreet.io/apartment/monastiraki-living-deluxe-2br-apartment/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/apartment/monastiraki-living-deluxe-2br-apartment/,€100/day,"Active property page; no review-count visible in captured page","Professional gallery but weak hero hierarchy; the central Monastiraki advantage is not immediately packaged visually","Title says Deluxe but not guest outcome; opening is long and generic before explaining why this apartment is better",75,yes,qualified
Athens Heart Stay 1BR Apartment in Koukaki,https://upstreet.io/apartment/athens-heart-stay-1br-apartment-in-koukaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/apartment/athens-heart-stay-1br-apartment-in-koukaki/,€110/day,"Active property page; no review-count visible in captured page","Balcony/living-room value can be better ordered; first visual impression does not scream Koukaki + Acropolis Museum walkability","Title is serviceable but bland; first paragraph uses boilerplate and does not lead with the neighborhood promise",77,yes,qualified
Sleek Flat in Central Syntagma,https://upstreet.io/apartment/sleek-flat-in-central-syntagma/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/apartment/sleek-flat-in-central-syntagma/,€115/day,"Active property page; no review-count visible in captured page","Images exist but cover direction should sell central Plaka/Syntagma access plus balcony rather than generic room sequence","Title is vague: 'Sleek Flat' undersells Plaka/Syntagma location; opening paragraph is generic and overuses cozy/newly renovated",76,yes,qualified
Elegant 2BR Apartment in Kolonaki,https://upstreet.io/apartment/elegant-2br-apartment-in-kolonaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€120/day,Upstreet apartment-list page verified central Kolonaki listing; individual page not deeply reviewed,Generic likely polished gallery; needs sharper hero order,Generic adjective-led title with no guest persona,71,yes,qualified
Minimal Luxury 2BR Apartment in Kolonaki,https://upstreet.io/apartment/minimal-luxury-2br-apartment-in-kolonaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€120/day,Upstreet apartment-list page verified central Kolonaki listing; individual page not deeply reviewed,Professional but commodity presentation likely; cover should show space/location value,"'Minimal Luxury' is generic and common; copy likely needs stronger neighborhood hook",70,yes,qualified
Urban 2BD Apartment in Koukaki,https://upstreet.io/apartment/urban-2bd-apartment-in-koukaki/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€110/day,Upstreet apartment-list page verified Koukaki listing; individual page not deeply reviewed,Weak differentiation from many Koukaki options; likely needs cover/sequence sharpening,Generic urban title; missing Acropolis/guest-use hook,71,yes,qualified
Delightful 1BD Apartment in Plaka,https://upstreet.io/apartment/delightful-1bd-apartment-in-plaka/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€115/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Presentation likely adequate but not standout for Plaka price,Adjective-led title; does not clarify guest outcome,70,yes,qualified
Luxury Apartment in Plaka D,https://upstreet.io/apartment/luxury-apartment-in-plaka-d/,agency email + phone,reservations@upstreet.io; +30 215 215 4529 voice; +31 970 1020 4085 whatsapp,https://upstreet.io/,~€130/day,Upstreet apartment-list page verified Plaka listing; individual page not deeply reviewed,Letter suffix in property name feels internal not guest-facing,"'Luxury Apartment ... D' reads like inventory naming, not a conversion title",73,yes,qualified
